node_id,kind,local_id,name,lon,lat
STN_0746,Multimodal station,746,Bus Station,-2.4807055,53.748756
STN_0748,Multimodal station,748,Barnsley Rail Station,-1.4777582,53.554146
STN_0750,Multimodal station,750,Bournemouth Rail Station,-1.86465,50.72703
STN_0753,Multimodal station,753,Brighton Railway Station - Stroudley Road,-0.14135875,50.831364
STN_0757,Multimodal station,757,Bristol Temple Meads Rail Station,-2.58044,51.44927
STN_0762,Multimodal station,762,Cambridge Rail Station,0.13746,52.19407
STN_0767,Multimodal station,767,Cheltenham Spa Rail Station,-2.09962,51.8974
STN_0771,Multimodal station,771,Chester Rail Station,-2.8803566,53.196663
STN_0775,Multimodal station,775,Coventry Rail Station,-1.51346,52.40081
STN_0776,Multimodal station,776,Customhouse Street JG,-3.176955,51.476604
STN_0780,Multimodal station,780,Doncaster Rail Station,-1.1391042,53.523754
STN_0781,Multimodal station,781,Derby Rail Station,-1.46335,52.91655
STN_0786,Multimodal station,786,Eastleigh Rail Station,-1.35008,50.96925
STN_0789,Multimodal station,789,London Euston Rail Station,-0.13496,51.52846
STN_0793,Rail station,793,Rail Station,-1.1909661,50.8527
STN_0808,Multimodal station,808,Huddersfield Bus Station,-1.7864913,53.64565
STN_0816,Multimodal station,816,Hull Interchange,-0.34499478,53.744423
STN_0820,Multimodal station,820,Ipswich Rail Station,1.14443,52.05059
STN_0824,Multimodal station,824,Leicester Rail Station,-1.12449,52.63131
STN_0826,Multimodal station,826,Lincoln Central Rail Station,-0.53992,53.22609
STN_0830,Multimodal station,830,Luton Airport Parkway Rail Station,-0.39588,51.87244
STN_0831,Multimodal station,831,Luton Station Interchange,-0.41511333,51.882153
STN_0832,Multimodal station,832,Queen Square Bus Station,-2.982056,53.407272
STN_0835,Multimodal station,835,Middlesbrough Rail Station,-1.23472,54.5791
STN_0837,Multimodal station,837,Meadowhall Rail Station,-1.4129481,53.416946
STN_0839,Multimodal station,839,Central Railway Station,-0.77347517,52.03471
STN_0843,Multimodal station,843,Manchester Piccadilly Rail Station,-2.23047,53.47701
STN_0845,Multimodal station,845,Motherwell Rail Station,-3.99433,55.79167
STN_0849,Multimodal station,849,Northampton Rail Station,-0.907,52.23736
STN_0850,Multimodal station,850,Bus Station,-1.4663715,52.524635
STN_0851,Multimodal station,851,Norwich Rail Station,1.30695,52.62665
STN_0853,Multimodal station,853,Newcastle Rail Station,-1.6200184,54.967995
STN_0855,Multimodal station,855,Newton-le-Willows Interchange,-2.6132982,53.452915
STN_0857,Multimodal station,857,London Paddington Rail Station,-0.17802498,51.516895
STN_0858,Multimodal station,858,Peterborough Rail Station,-0.2483096,52.574856
STN_0861,Multimodal station,861,Plymouth Rail Station,-4.14332,50.37783
STN_0864,Multimodal station,864,Preston Rail Station,-2.70711,53.75534
STN_0870,Multimodal station,870,Reading Rail Station,-0.97113955,51.4579
STN_0880,Multimodal station,880,Swindon Rail Station,-1.78561,51.56459
STN_0883,Multimodal station,883,Sleaford Rail Station,-0.41035,52.99547
STN_0884,Multimodal station,884,Interchange,-1.3846796,54.902954
STN_0885,Multimodal station,885,Southampton Central Rail Station,-1.41148,50.90671
STN_0887,Multimodal station,887,Southport Rail Station,-3.00243,53.64652
STN_0890,Multimodal station,890,Coach Station,0.26287204,51.889004
STN_0892,Multimodal station,892,Stoke-on-Trent Rail Station,-2.18099,53.00798
STN_0894,Rail station,894,Strood Rail Station,0.49651018,51.39501
STN_0897,Multimodal station,897,Swansea Rail Station,-3.94086,51.62532
STN_0900,Multimodal station,900,Tiverton Parkway Rail Station,-3.35964,50.91718
STN_0913,Multimodal station,913,Woking Rail Station,-0.55696,51.31847
STN_0915,Multimodal station,915,"Warrington, Interchange",-2.5942676,53.391125
STN_0916,Multimodal station,916,Warrington Bank Quay Rail Station,-2.60236,53.38601
STN_0918,Multimodal station,918,Rail Station,-1.0909653,53.95821
STN_0920,Multimodal station,920,BEAULIEU PARK,0.51822,51.75719
STN_0925,Bus station,925,SASSARI VIA TURATI,8.557568,40.71557
STN_0935,Multimodal station,935,Kornwestheim,9.180061,48.862194
STN_0937,Multimodal station,937,München Ostbahnhof,11.605509,48.127377
STN_0941,Multimodal station,941,Augsburg Hbf,10.885784,48.365383
STN_0944,Multimodal station,944,Zwolle,6.0907874,52.504738
STN_0945,Rail station,945,"[Brummen] Voorzijde station, Stationsweg",6.147259,52.0909
STN_0948,Multimodal station,948,Hengelo,6.7938523,52.26196
STN_0949,Multimodal station,949,Oberhausen Hbf,6.8514113,51.474613
STN_0951,Multimodal station,951,Bielefeld Hbf,8.532938,52.029297
STN_0953,Multimodal station,953,S Spandau Bhf (Berlin),13.197075,52.53461
STN_0957,Multimodal station,957,Enschede,6.8900003,52.222424
STN_0960,Multimodal station,960,"Hamm (Westf), Hauptbahnhof",7.807696,51.678352
STN_0963,Multimodal station,963,'s-Hertogenbosch,5.2939634,51.69036
STN_0964,Multimodal station,964,Leeuwarden,5.791847,53.196377
STN_0965,Multimodal station,965,MG Hbf /Europaplatz,6.4459248,51.19697
STN_0966,Multimodal station,966,"Nijmegen, Centraal Station",5.853415,51.843628
STN_0967,Multimodal station,967,Osnabrück Hbf,8.060587,52.273045
STN_0968,Multimodal station,968,"Tilburg, Centraal Station",5.08205,51.560535
STN_0970,Multimodal station,970,Utrecht Centraal,5.1094155,52.089375
STN_0972,Multimodal station,972,Venlo,6.172027,51.36468
STN_0975,Multimodal station,975,"Apeldoorn, Station",5.9705906,52.209553
STN_0988,Bus station,988,"Kampen, GSG Pieter Zandt",5.9234424,52.542263
STN_0997,Multimodal station,997,"Lelystad, Station Centrum",5.4731493,52.50756
STN_1000,Multimodal station,1000,Den Haag HS,4.3224053,52.06968
STN_1035,Bus station,1035,"Grave, Busstation",5.734611,51.76057
STN_1047,Bus station,1047,"Lauwersoog, Veerhaven",6.1962,53.41051
STN_1055,Multimodal station,1055,Pforzheim Hauptbahnhof,8.703945,48.893787
STN_1057,Multimodal station,1057,Aschaffenburg Hbf,9.143216,49.980267
STN_1067,Multimodal station,1067,Vaihingen (E),8.957929,48.94729
STN_1097,Multimodal station,1097,Mühlacker Bahnhof,8.846569,48.953
STN_1115,Multimodal station,1115,Windeck Au (Sieg) Bf,7.6566453,50.773613
STN_1122,Multimodal station,1122,Bad Laasphe ZOB,8.421525,50.92956
STN_1130,Multimodal station,1130,Bamberg,10.899406,49.90054
STN_1134,Rail station,1134,"Bensheim, Bahnhof",8.617128,49.681705
STN_1150,Multimodal station,1150,Bonn Hbf,7.0979915,50.732018
STN_1157,Multimodal station,1157,Bremerhaven Hbf,8.599112,53.535316
STN_1166,Multimodal station,1166,"Chemnitz, Hauptbahnhof",12.92991,50.83998
STN_1167,Multimodal station,1167,"Cottbus, Hauptbahnhof",14.324475,51.750763
STN_1170,Multimodal station,1170,Dachau Bahnhof,11.44329,48.254734
STN_1171,Multimodal station,1171,Darmstadt Hauptbahnhof,8.63093,49.872257
STN_1177,Multimodal station,1177,Dillenburg Bahnhof,8.294406,50.734783
STN_1182,Multimodal station,1182,Dresden Bahnhof Neustadt,13.740693,51.065834
STN_1188,Multimodal station,1188,"Eberbach, Bahnhof",8.984025,49.465446
STN_1204,Multimodal station,1204,Flieden Bahnhof,9.577685,50.421913
STN_1205,Multimodal station,1205,Frankfurt (Main) Flughafen Terminal 1,8.57068,50.051983
STN_1208,Multimodal station,1208,Frankfurt (Main) Südbahnhof,8.686205,50.099148
STN_1218,Multimodal station,1218,Fulda Bahnhof,9.683876,50.554615
STN_1227,Multimodal station,1227,Gießen Bahnhof,8.663359,50.5801
STN_1228,Multimodal station,1228,"Glauchau, Bahnhof",12.548555,50.828323
STN_1231,Multimodal station,1231,"Greifswald, ZOB (DB)",13.37002,54.093586
STN_1239,Multimodal station,1239,Haiger Bahnhof,8.221886,50.74115
STN_1245,Multimodal station,1245,Hamburg-Harburg,9.991632,53.456234
STN_1247,Multimodal station,1247,Hanau Hauptbahnhof,8.929521,50.121098
STN_1260,Multimodal station,1260,Hildesheim Bahnhof Stadtbus,9.951969,52.159435
STN_1264,Multimodal station,1264,Homburg (Saar) Hbf,7.337014,49.327797
STN_1266,Rail station,1266,Hoyerswerda Bahnhof,14.231971,51.434258
STN_1271,Multimodal station,1271,Ingolstadt Hbf,11.436915,48.744694
STN_1272,Multimodal station,1272,Ingolstadt Nord,11.432096,48.77352
STN_1278,Multimodal station,1278,"Kaiserslautern, Hbf",7.768594,49.436005
STN_1282,Multimodal station,1282,Kassel-Wilhelmshöhe,9.4473,51.312115
STN_1284,Multimodal station,1284,Kempten (Allgäu) Hbf,10.317405,47.711895
STN_1290,Multimodal station,1290,Krefeld Hbf,6.568948,51.32542
STN_1291,Multimodal station,1291,Kreiensen,9.967798,51.85142
STN_1304,Multimodal station,1304,Landshut (Bay) Hauptbahnhof,12.135922,48.547115
STN_1322,Multimodal station,1322,Magdeburg Hbf,11.626232,52.13075
STN_1324,Multimodal station,1324,Marburg Hauptbahnhof,8.774809,50.819305
STN_1336,Multimodal station,1336,Münsingen Bhf,9.490671,48.4095
STN_1343,Rail station,1343,Neuenmarkt-Wirsberg,11.58101,50.093735
STN_1351,Multimodal station,1351,Neustrelitz Hauptbahnhof,13.0743475,53.359325
STN_1367,Multimodal station,1367,"Paderborn, Hauptbahnhof",8.740895,51.71304
STN_1372,Multimodal station,1372,Plau am See Bahnhof,12.256124,53.460255
STN_1382,Multimodal station,1382,Regensburg Hbf,12.099279,49.01209
STN_1383,Multimodal station,1383,Rendsburg Bahnhofstraße/ZOB,9.669067,54.30274
STN_1391,Multimodal station,1391,Rosenheim,12.119109,47.85019
STN_1408,Multimodal station,1408,Schweinfurt Hbf,10.21155,50.035633
